date,open,high,low,close,volume,200 MA,50 MA
2020-04-24,257.9895,260.7,255.94,260.14,4759760.0,276.0056,258.4168
2020-04-23,257.75,260.8999,256.2,256.42,7632248.0,276.0882,259.45000000000005
2020-04-22,255.7459,258.23,254.475,256.47,5626265.0,276.16885,260.47100000000006
2020-04-21,254.25,255.49,250.0,250.95,6510095.0,276.28395,261.5586
2020-04-20,259.65,263.1,258.58,258.86,6481640.0,276.36125,262.5192
2020-04-17,262.31,264.0,259.5,263.61,6737133.0,276.40435,263.36400000000003
2020-04-16,256.514,257.2999,253.4,256.53,5880497.0,276.4789,264.282
2020-04-15,255.05,256.9,253.11,255.24,4877384.0,276.54845,265.134
2020-04-14,258.209,261.63,257.21,260.92,6621378.0,276.5822,265.8294
2020-04-13,254.68,254.9487,249.3766,253.19,7657728.0,276.65685,266.7874
2020-04-09,255.02,258.3899,253.14,255.67,8807341.0,276.7204,267.677
2020-04-08,246.24,253.05,244.05,251.93,6936416.0,276.81605,268.6474
2020-04-07,251.92,252.8,243.455,243.66,12870939.0,276.9548,269.7188
2020-04-06,236.96,245.3,235.93,243.53,7577273.0,277.0958,270.8888
2020-04-03,230.43,232.71,225.3412,228.02,5489369.0,277.3018,272.4246
2020-04-02,225.335,232.18,224.72,231.44,6504976.0,277.48715,273.88599999999997
2020-04-01,227.89,231.05,224.13,226.15,13684479.0,277.6857,275.4516
2020-03-31,239.41,241.94,235.44,236.82,10333592.0,277.8297,276.8164
2020-03-30,234.92,241.1,232.97,240.39,8705638.0,277.95785,278.0892
2020-03-27,232.73,239.64,230.661,232.86,11167600.0,278.11775,279.4622
2020-03-26,229.272,241.44,228.85,240.24,12370849.0,278.24325000000005,280.67420000000004
2020-03-25,225.0,235.51,220.32,226.62,11855990.0,278.43710000000004,282.1666
2020-03-24,215.455,224.3,214.83,223.75,13105547.0,278.6391,283.6768
2020-03-23,209.63,210.7799,200.55,204.27,14088347.0,278.92545,285.5938
2020-03-20,222.8,224.563,210.05,210.74,11519005.0,279.171,287.3402
2020-03-19,218.52,226.0,212.11,220.34,12386635.0,279.35765,288.8640000000001
2020-03-18,216.08,224.74,208.31,220.15,20087629.0,279.5175,290.408
2020-03-17,223.75,233.95,216.6,232.88,15058905.0,279.61745,291.6752
2020-03-16,222.85,234.77,218.1444,218.57,17190037.0,279.8061,293.2722
2020-03-13,240.66,247.78,228.1,247.64,19523200.0,279.84585,294.2354
2020-03-12,234.94,243.675,225.81,226.48,24552548.0,280.00025,295.6066
2020-03-11,256.6334,257.72,247.62,250.73,11461212.0,280.04504999999995,296.5254
2020-03-10,260.48,263.81,250.0,263.81,10843545.0,280.0222,297.1826000000001
2020-03-09,253.89,260.99,251.15,252.11,16341386.0,280.0732,298.0436
2020-03-06,269.32,274.46,266.6,273.19,6668500.0,280.0224,298.483
2020-03-05,280.3,283.41,275.61,277.85,6188657.0,279.93725,298.8520000000001
2020-03-04,281.23,287.645,278.7,287.48,5244489.0,279.8129,298.99840000000006
2020-03-03,284.3292,288.3197,273.36,276.04,9766553.0,279.75375,299.3492
2020-03-02,274.0,284.04,270.49,283.87,12393798.0,279.64345,299.543
2020-02-28,265.32,272.92,262.25,271.74,23179559.0,279.5861,299.9782
2020-02-27,280.57,284.4795,273.36,273.39,14860210.0,279.5093,300.3392
2020-02-26,288.61,292.28,285.48,286.07,10233177.0,279.40155,300.4444
2020-02-25,297.649,298.23,286.36,287.34,8438054.0,279.2813,300.4734
2020-02-24,296.96,299.378,295.17,296.24,7077745.0,279.1206,300.3094
2020-02-21,308.3,308.58,305.62,306.49,2678028.0,278.91125,299.9458
2020-02-20,310.35,311.187,306.67,309.7,4608312.0,278.70765,299.5356
2020-02-19,310.38,311.59,310.12,310.92,2245319.0,278.5033,299.05
